TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
357389,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,793SWW,2014,HONDA,CRV,RED,,12082018,1954,"(41.7606518250486, -72.6881882124485)"
357388,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AP61800,2018,DODGE,GRND CARAV,MAR,,12082018,1909,"(41.7786064251688, -72.6998894116154)"
357395,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AR51142,2005,CADILAC,CTS,GREEN,,12092018,0029,"(41.8042349911098, -72.6955502556792)"
357396,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AE82055,2003,CHEVROLET,SILVERADO,MAROON,,12092018,0032,"(41.8042349911098, -72.6955502556792)"
357398,,,860-296-2826,CT,477ZJM,2001,NISSAN,MAXIMA,BLACK,,12092018,0121,"(41.7916195849275, -72.6689415094288)"
357397,,,860-296-2826,CT,AJ38983,2010,CADILLAC,SRX,BLUE,,12092018,0040,"(41.7698178749636, -72.6986453975231)"
357400,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AM54246,2004,BMW,X3,BLK,,12092018,0236,"(41.7862698350545, -72.6838139464437)"
357403,,,860-296-9663,CT,DH950,1998,DODGE,RAM,RED,,12092018,0257,"(41.7409655794249, -72.6725233951419)"
357401,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AM10929,2011,CHEVROLET,IMPALA,WHITE,,12092018,0236,"(41.7862698350545, -72.6838139464437)"
357402,,,860-296-9663,CT,XA641,2008,CHEVY,EQUINOX,TAN,,12092018,0249,"(41.7430993767577, -72.6724710492096)"
357399,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AR68747,2013,CADILLAC,ATS,BLK,,12092018,0159,"(41.7516435324832, -72.695091002251)"
357404,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,00JTDH,1997,TOYOTA,COROLLA,RED,,12092018,0319,"(41.7380560419119, -72.684448105774)"
357405,,,860-296-1518,CT,AR99100,2014,JEEP,PATRIOT,WHITE,,12092018,0436,"(41.7685345547553, -72.6844781018684)"
357406,,,860-296-1518,NJ,A46HPF,2016,HONDA,ODESSEY,BLACK,,12092018,0449,"(41.7685345547553, -72.6844781018684)"
357407,,,860-296-1518,CT,AN08629,2001,TOYOTA,CELLICA,SILVER,,12092018,0454,"(41.7541812619456, -72.6831701840886)"
357410,,,860-296-1518,CT,AL54908,2016,MAZDA,3,GRAY,,12092018,0516,"(41.7664021544218, -72.7046915813262)"
357408,,,860-296-1518,CT,AP99717K,2017,HYUNDAI,ACCENT,WHITE,,12092018,0502,"(41.7709152419733, -72.6972774547335)"
357409,,,860-296-1518,CT,AL62992,2016,VOLKSWAGEN,GETTA,GRAY,,12092018,0512,"(41.7670897972513, -72.6795927112564)"
357413,,,860-296-1518,MA,324ED7,2010,TOYOTA,CAMRY,GREEN,,12092018,0629,"(41.7670897972513, -72.6795927112564)"
357411,,,860-296-1518,CT,343ZCX,2012,CHEVY,SONIC,GRAY,,12092018,0611,"(41.7666483753919, -72.7094343349686)"
357412,,,860-296-1518,FL,297OQS,2009,AUDI,A4,SILVER,,12092018,0622,"(41.7670897972513, -72.6795927112564)"
357414,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,MA,7XD116,2007,LEXUS,GS350,WHITE,,12092018,0710,"(41.7579337717286, -72.6823593632626)"
357417,,,860-236-2602,CT,105TOW,2004,TOYOTA,COROLLA,SILVER,,12092018,1124,"(41.7511149544504, -72.6760081048506)"
357418,,,860-236-2602,CT,238ZPG,2000,TOYOTA,ECHO,GRAY,,12092018,1129,"(41.7807739080435, -72.6843992760551)"
357419,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AK18961,2013,KIA,SORENTO,BLK,,12092018,1217,"(41.7459484945492, -72.6833059350032)"
357421,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AP20975,2015,LEXUS,GS,BLK,,12092018,1237,"(41.7398989543041, -72.6761260360906)"
357425,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,1996,TOYOTA,CAMERY,TAN,,12092018,1249,"(41.7817955546075, -72.6759205459453)"
357424,,,860-296-5382,,,2001,BUICK,CENTURY,SILVER,,12092018,1246,"(41.7877826116482, -72.6813140695139)"
357423,,,860-296-5382,CT,AJ92870,2012,HONDA,CRV,GRAY,,12092018,1238,"(41.7528139827624, -72.6832158612731)"
357426,,,860-296-2826,,,2007,BMW,328XI,BLUE,,12092018,1318,"(41.7489002133283, -72.67912008146)"
357422,,,860-296-5382,CT,474YSA,2013,LEXUS,RX350,BROWN,,12092018,1236,"(41.7511149544504, -72.6760081048506)"
357428,,,860-296-2826,CT,AF29604,2007,NISSAN,ALTIMA,BLACK,,12092018,1416,"(41.7939568886989, -72.68256987285)"
357427,,,860-296-2826,MA,6PC721,2002,NISSAN,SENTRA,GRAY,,12092018,1353,"(41.7880422670929, -72.6725943287291)"
357429,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2001,FORD,F150,GREEN,,12092018,1810,"(41.7399559967701, -72.6741327931095)"
357430,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AJ34596,2004,NISSAN,ALTIMA,GRAY,,12092018,1730,"(41.7688325098416, -72.7003563471851)"
357432,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,7AXFA5,2005,TOYOTA,CAMRY,GRAY,,12092018,1444,"(41.7960843945755, -72.6789742340395)"
357433,,,860-296-2826,CT,AE79208,2013,HYUNDAI,SONATA,SILVER,,12092018,1300,"(41.7413388365852, -72.6795377432228)"
357434,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,388XNH,2014,NISSAN,ROGUE,GREEN,,12092018,1930,"(41.7697850826963, -72.6994479408409)"
357431,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AM77593,2008,AUDI,A6,BLUE,,12092018,1600,"(41.7712763963602, -72.6901816333271)"
357436,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,8APTP3,2014,VOLK,TRG,BLK,,12092018,2149,"(41.7450866585474, -72.6996055466226)"
357438,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AP41129,2004,HYUNDAI,SONATA,GRAY,,12092018,2327,"(41.7678177389058, -72.6937830399814)"
357437,,,860-947-3062,CT,8ADUL9,1997,MERCURY,TRACER,GREY,,12092018,2318,"(41.7773596489169, -72.7007372706161)"
357439,,,860-296-9663,CT,AF91489,2006,TOYOTA,COROLLA,GREY,,12092018,2323,"(41.753185783885, -72.6886988643923)"
357440,,,860-296-9663,CT,AN52328,2016,TOYOTA,COROLLA,RED,,12092018,2340,"(41.7511149544504, -72.6760081048506)"
357441,,,860-296-9663,CT,4ARGV0,2007,CHRYSLER,300 TOURIN,GRAY,,12092018,2343,"(41.7511149544504, -72.6760081048506)"
357442,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AB32938,2005,JEEP,GRAND CHER,RED,,12092018,2352,"(41.7678177389058, -72.6937830399814)"
357443,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2005,HONDA,ACCORD,GRAY,,12102018,0049,"(41.7752398512227, -72.695070971824)"
357415,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,1999,HONDA,ACCORD,RED,,12092018,1019,"(41.7804840445275, -72.6924869659578)"
357444,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AK62715,2005,CHRYSLER,TOWN&COUNT,BLU,,12102018,0147,"(41.7916878045497, -72.6830572159122)"
357447,,,860-236-2602,TN,X1554G,2010,TOYOTA,COROLLA,BLACK,,12102018,0507,"(41.7842838245702, -72.685325737516)"
357448,,,860-236-2602,CT,AM54423,2002,NISSAN,ALTIMA,BLUE,,12102018,0510,"(41.7782265396592, -72.6857801556813)"
357449,,,860-236-2602,CT,AD11965,2006,MAZDA,MAZDA3,WHITE,,12102018,0643,"(41.7450522688011, -72.6884963343204)"
357452,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,7AMUP8,2007,AUDI,A4,WHITE,,12102018,1027,"(41.7508191836169, -72.6954679447014)"
357454,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2004,PONTIAC,VIBE,GRAY,,12102018,1038,"(41.7596648271703, -72.7040488522691)"
357453,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2004,HONDA,ACCORD,RED,,12102018,1034,"(41.7579539439212, -72.6842905341512)"
357451,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2003,NISSAN,MAXIMA,GRAY,,12102018,0955,"(41.7466752448729, -72.6791446494586)"
357456,,,860-296-2826,CT,AP98227,2014,NISSAN,ALTIMA,GRAY,,12102018,1055,"(41.7938905992898, -72.6825754793353)"
357455,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AR14340,2017,KIA,SPORTAGE,BLACK,,12102018,1055,"(41.7382421713705, -72.6594713493357)"
357458,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2004,HONDA,ACCORD,GRAY,,12102018,1219,"(41.7630756228617, -72.6880807507131)"
357460,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2004,NISSAN,MAXIMA,WHITE,,12102018,1334,"(41.7420959355132, -72.7125477765485)"
357461,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,1997,JEEP,GRAND CHER,GRAY,,12102018,1340,"(41.75820323603, -72.6884284971022)"
357459,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2002,SATURN,L100,GRAY,,12102018,1321,"(41.7628417045912, -72.6924307074611)"
357462,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AM91998,2012,CHEVY,TRAVERSE,WHTIE,,12102018,1353,"(41.7732878814109, -72.694109555761)"
357464,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,651WAG,2008,TOYOTA,AVALON,TAN,,12102018,1750,"(41.7646742288773, -72.6721482911941)"
357463,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,775TYB,2010,NISSAN,ALTIMA,GRAY,,12102018,1706,"(41.7700997978816, -72.6748160203001)"
357465,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2000,SATURN,LS1,GREEN,,12102018,1801,"(41.761467039455, -72.6869963029509)"
357467,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AJ50574,2008,LANDROVER,SPORT,BLACK,,12102018,2229,"(41.7536387712661, -72.683668735039)"
357466,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,OH,HBY2890,2017,KIA,SOUL,GRAY,,12102018,2209,"(41.7565184815554, -72.7111173273917)"
357468,,,860-296-2826,CT,AL46449,2017,NISSAN,MAXIMA,SILVER,,12102018,2233,"(41.773052841606, -72.6964952946581)"
357470,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AP62968,2003,LEXUS,RX 300,GRY,,12112018,0128,"(41.739457591176, -72.6973456777018)"
357469,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AJ49405,2013,HONDA,CIVIC,BLK,,12112018,0113,"(41.739457591176, -72.6973456777018)"
357475,,,860-296-2826,CT,143TCU,1992,HONDA,ACCORD,BROWN,,12112018,0242,"(41.773793890164, -72.6951995033845)"
357472,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2001,SATURN,SL2,TAN,,12112018,0215,"(41.7886704322138, -72.6754739826197)"
357471,,,860-296-8588,CT,AK58945,2004,HONDA,CIVIC,SILVER,,12112018,0212,"(41.773793890164, -72.6951995033845)"
357474,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,1996,HONDA,CIVIC,BLACK,,12112018,0238,"(41.7971940064627, -72.6776939797946)"
357480,,,860-296-2826,CT,AM78376,2000,SUBARU,OUTBACK,GREEN,,12112018,0756,"(41.7450522688011, -72.6884963343204)"
357481,,,860-296-2826,,,2001,HONDA,ACCORD,GOLD,,12112018,0801,"(41.7639722826995, -72.7001442469555)"
357482,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2007,FORD,FOCUS,GOLD,,12112018,0853,"(41.7712763963602, -72.6901816333271)"
357483,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,768NJB,2007,VOLKSWAGEN,PASSAT,RED,,12112018,0923,"(41.7536441487973, -72.7146990504466)"
357484,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AE78956,2014,JEEP,PATRIOT,BLACK,,12112018,0943,"(41.7578294354825, -72.6796083225271)"
357486,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AA94543,2010,JEEP,GR CHEROKE,WHITE,,12112018,1001,"(41.7616638018628, -72.6823673551726)"
357487,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,77CH31,2007,GMC,SIERRA K15,RED,,12112018,1050,"(41.7580862649855, -72.6795139715107)"
357488,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,0000,GMC,SAVANNAH,WHITE,,12112018,1102,"(41.8059414431759, -72.7037058508942)"
357492,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AB67009,1997,TOYOTA,CAMRY,BLUE,,12112018,1159,"(41.7576266581423, -72.6872171957215)"
357491,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,1998,NISSAN,MAXIMA,GREEN,,12112018,1113,"(41.7576266581423, -72.6872171957215)"
357489,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2008,INFINITI,G35,BLUE,,12112018,1107,"(41.7751225339657, -72.6866264650297)"
357494,,,860-296-8588,CT,2AFKA0,2003,TOYOTA,CAMRY,GRAY,,12112018,1507,"(41.7952019718385, -72.6791413068688)"
357493,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,1999,TOYOTA,AVALON,WHITE,,12112018,1431,"(41.7577502827616, -72.6939514368951)"
357495,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2006,PONTIAC,G6,GRAY,,12112018,1803,"(41.7580561188142, -72.687068135319)"
357496,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2002,MAZDA,MILLENIA,GRAY,,12112018,1824,"(41.7599888845495, -72.6881777780274)"
357497,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2008,DODGE,AVENGER,GRAY,,12112018,2032,"(41.782981023479, -72.6838602136235)"
357498,,,860-947-3062,CT,AN51422,2009,MITSUBISHI,GALANT,BLACK,,12122018,0028,"(41.7639956692386, -72.688500462431)"
357499,,,860-947-3062,CT,AH93502,2007,HONDA,CRV,SILVER,,12122018,0035,"(41.7478192157435, -72.6869832701773)"
357501,,,860-947-3062,CT,AA24376,1995,TOYOTA,COROLLA,BLUE,,12122018,0418,"(41.7425041949826, -72.6813178668941)"
357503,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AS12886,2017,NISSAN,ROGUE,GRY,,12122018,0438,"(41.7415668443504, -72.6732363281878)"
357505,,,860-296-1518,CT,AL34746,2002,BUICK,LESABRE,GOLD,,12122018,0742,"(41.7621759187861, -72.6869748210487)"
357506,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,1999,LINCOLN,TOWN CAR,BLUE,,12122018,0819,"(41.7608760418758, -72.6890844807246)"
357507,,,860-293-2442,CT,AR35923,2008,GMC,YUKON,TAN,,12122018,0843,"(41.7909669225143, -72.6851972533733)"
357508,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,383ZVP,1999,HONDA,CICIC,GRY,,12122018,0857,"(41.7581339350598, -72.6891005831699)"
357511,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2001,NISSAN,FRONTIER,GRAY,,12122018,1052,"(41.7575104846144, -72.686924029977)"
357509,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,1AFKD6,1993,HONDA,ACCORD,WHITE,,12122018,1004,"(41.7802037623762, -72.6801209148406)"
357513,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,323ZHB,2009,BMW,X5,BLACK,,12122018,1140,"(41.7360476700912, -72.7067543349482)"
357514,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,229ZWN,2007,HONDA,ACCORD,GRAY,,12122018,1142,"(41.7360476700912, -72.7067543349482)"
357512,,,860-296-2826,NY,JAG5110,2018,NISSAN,ROUGE,WHITE,,12122018,1121,"(41.7576905386531, -72.6829286158527)"
357518,,,860-293-2442,CT,AA49869,2015,BMW,X3,BLACK,,12122018,1211,"(41.7679525752798, -72.6811912287418)"
357515,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2002,VOLVO,V70 XC,BLUE,,12122018,1206,"(41.7842967573932, -72.6942329030532)"
357517,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2005,JEEP,LIBERTY,BLACK,,12122018,1231,"(41.7581882153429, -72.6923191246713)"
357516,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,5ASGX2,2014,MAZDA,6,BLUE,,12122018,1219,"(41.7654782509094, -72.6695204300307)"
357520,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2003,ACURA,3.2 CL,BLK,,12122018,1744,"(41.7646742288773, -72.6721482911941)"
357524,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2004,INFINITI,I35,GRY,,12122018,1948,"(41.7553942859902, -72.676405690946)"
357525,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,2AGXL6,2001,ISUZU,RODEO,RED,,12122018,2013,"(41.7583707716985, -72.6919034571999)"
357527,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AF91789,2016,NISSAN,ROGUE,GRY,,12122018,2040,"(41.7594789672422, -72.6876470277659)"
357526,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2015,NISSAN,ALTIMA,RED,,12122018,2028,"(41.7600117961393, -72.7125484734792)"
357528,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,1998,HONDA,ACCORD,GRY,,12122018,2055,"(41.7599888845495, -72.6881777780274)"
357529,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2002,INFINITI,I35,GOLD,,12122018,2109,"(41.7992009324639, -72.7053275160654)"
